Name,Latitude,Longitude,Altitude,GeopositioningMethod,WIGOSstationIdentifier,DateEstablished,FacilityType,ProgramAffiliation,ObservedVariableAtmosphere,Geometry,WMORegion,TerritoryName,ReportingStatus
Enkorika Secondary School,-1.96608,36.92328,1770,unknown,0-404-300-341840918AS00001,16/09/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
PJ Dave Flora farm (Agromet),-1.41449,36.52755,1658,unknown,0-404-300-341850921AS00002,17/09/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Mashuru DCC's compound,2.06222,37.07888,1375,unknown,0-404-300-341850925AS00003,16/09/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Enkijape Primary school,-2.32784,37.31647,1236,unknown,0-404-300-341870932AS00005,19/09/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
PCEA Isara High School Station,-2.16176,37.27669,1189,unknown,0-404-300-341850924AS00004,20/09/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Olkirimatiani health center,-1.52334,36.0887,651,unknown,0-404-300-341860928AS00006,22/12/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Machakos Agriculture Training Centre,-1.545517,37.24022,1615,unknown,0-404-300-160810399AS00008,2021-01-10,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Iiyuni Secondary School,-1.68705,37.33153,1646.4,unknown,0-404-300-160810398AS00009,2021-11-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
South Eastern University of Kenya,-1.3084,37.7557,1229,unknown,0-404-300-150710352AS00119,2021-01-10,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Masinga Boys Secondary School,-0.96455,37.62403,1139,unknown,0-404-300-160750372AS00010,2021-05-10,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kenya Meat Training Institute,-1.44475,36.98535,1490,unknown,0-404-300-160800394AS00007,2021-08-10,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
KALRO Bachuma Livestock,-3.69345,38.97638,435,unknown,0-404-300-060260128AS00044,14/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kasigau Girls Sec Sch,-3.8333,38.69787,550,unknown,0-404-300-060260129AS00045,13/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Manoa dispensary,-3.594983,38.33308,913,unknown,0-404-300-060250123AS00046,18/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Gicheha Farm,-3.26575,37.76405,932,unknown,0-404-300-060230111AS00047,19/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Chepalungu boys high school,-1.002967,35.25492,1715,unknown,0-404-300-361950974AS00015,24/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ndenai boys high school,-0.8268833,35.09772,1887,unknown,0-404-300-361940966AS00014,26/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ndoinet forest stattion,0.4098,35.5417,2499,unknown,0-404-300-361980989AS00120,27/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Siret Secondary School,-0.2118,35.40958,1976,unknown,0-404-300-351890942AS00020,2021-01-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kipsitet Day Secondary School,-0.2241,35.173,1394,unknown,0-404-300-351930965AS00017,2021-03-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Laliat Secondary School,-0.2604167,35.26392,1673,unknown,0-404-300-351900945AS00016,28/10/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Muhoroni Sugar Company,-0.154183,35.18168,1254,unknown,0-404-300-422431215AS00031,2021-03-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
