label,notation
AARI,AARI
ACTRIS,ACTRIS
ADD,ADD
ADNet,ADNet
ADS-C,ADSC
AEROCAN,AEROCAN
AERONET,AERONET
AFIRS,AFIRS
AGAGE,AGAGE
AIREP,AIREP
AMDAR,AMDAR
ANTON(S),ANTONs
ANTON(T),ANTONt
AOML,AOML
AOML Glider Program,AOMLGlider
AOML Hurricane ALAMO Floats,AOMLHurricaneALAMOFloats
AOML-MF DB,AOMLMFDB
AOML-E-SURFMAR,AOMLeSurfmar
AOOS Gliders,AOOSGlider
APL-UW,APLUW
Argo FPAII-GMMC,ARGOFPAIIGMMC
Argo Morocco,ARGOMorocco
Argo NIMS/KMA,ARGONIMSKMA
Argo PERU,ARGOPeru
Argo UW-MBARI,ARGOUWMBARI
Argo UW-SOCCOM,ARGOUWSOCCOM
Argo UW-TPOS eq.,ARGOUWTPOSEQ
Argo WHOI-SODA eq.,ARGOWHOISODAEQ
Argo WHOI-Loop Current eq.,ARGOWHOIloopcurrentEQ
ASAP-AWI,ASAPAWI
ASAP-JP,ASAPJP
ASAP-KR,ASAPKR
ASAP-MPI,ASAPMPI
ASAP-US,ASAPUS
ASAP-ZA,ASAPZA
Adriatic Sea Observatory,ASOGlider
AWI-DB,AWIDB
NSF Northern Gulf of Alaska Long Term Ecological Research,AlaskaLTERGlider
Alseamar scientific glider program,AlseamarGlider
Alter_Eco glider program,AlterECOGlider
AtlantOS_H2020,AtlantOSH2020
BOM DB,BOMDB
BOM MB,BOMMB
BOM-TSU,BOMTSU
BP INC,BPINC
BSH-DWD-MB,BSHDWDMB
BSH-DWD-FIXED,BSHDWDfixed
BSH-MB,BSHMB
BSRN,BSRN
BULARGO,BULARGO
CANDHIS,CANDHIS
CAPMoN,CAPMoN
CARICOOS,CARICOOS
CARIOCA,CARIOCA
CASTNET,CASTNET
CDIP,CDIP
CEOAS glider program,CEOASGlider
CIS-LiNet,CIS-LiNet
CLIMAT(C),CLIMATc
CLIMAT(CT),CLIMATct
CLIMAT(T),CLIMATt
CLN,CLN
COMPS-MB,COMPSMB
CORMP-NC,CORMPNC
Coastal Observing System for Northern and Arctic Seas,COSYNA
CSI-MB,CSIMB
CTBTO,CTBTO
Cyprus Coastal Ocean Forecasting and Observing System,CYCOFOS
Challenger,Challenger
CryoNet,CryoNet
DBCP others,DBCPothers
DEKOSIM,DEKOSIM
DFO DB,DFODB
Department of Fisheries and Oceans Canada Glider Program,DFOGlider
DFO USVs,DFOUSVs
DFO/University of Victoria Glider program,DFOUVicGlider
EANET,EANET
EARLINET,EARLINET
EC DB,ECDB
EC-IABP,ECIABP
EC MB,ECMB
Extended Ellett Array,EEAGlider
EMEP,EMEP
ESRLCCG,ESRLCCG
